lga_code,a_total,b_total,c_total,d_total,e_total,f_total,offence_total,lga_name,volunteer_rating_percentage
21610,1139.1589477515702,3817.2873006968557,347.41132050879116,330.6316860974,675.3681445294525,12.537517406776683,6322.3949169908465,Casey (C),13.3
21670,1927.4597459119427,4141.42576857688,361.11460376207435,1061.5381430442594,1598.4797029853253,38.05469019844299,9128.072654478925,Central Goldfields (S),25.2
21750,1605.6622887913277,3708.737615139791,387.54865245811163,785.2795348832494,778.7508015814772,85.29012001134832,7351.269012865305,Colac-Otway (S),26.5
21830,956.9073440873362,2520.5293698963906,232.93601954005013,359.95515046251836,461.36244801536094,22.60431154701156,4554.294643548668,Corangamite (S),32.2
21890,1066.9639961026005,6637.152621301238,425.2641580245642,435.6672228144259,613.9858924637106,23.71472833374241,9202.748619040281,Darebin (C),15.7
22110,1830.7597789264921,4277.593760184026,439.5630340887395,897.8013842096498,1238.6623818128623,59.93520717605512,8744.315546397824,East Gippsland (S),27.6
22170,1519.057319408292,5769.637938483334,722.2560734949932,1167.6468063080351,1568.3441529400648,30.08833393969647,10777.030624574418,Frankston (C),15.0
22250,1165.8910531281658,2417.9508525322904,361.65108594875016,774.9114972727705,716.188812823842,25.779636986215785,5462.372938692035,Gannawarra (S),35.7
22310,481.1397732308831,2864.5445640904427,231.5250984236997,225.79848315386312,299.03002952958497,17.544420397333667,4119.582368825807,Glen Eira (C),20.0
22410,1365.8956852216672,4274.762199437901,480.61589838565226,832.1443659752646,954.6261248129446,38.17445874540615,7946.2187325788345,Glenelg (S),31.1
22490,409.91843706013987,1700.6699267462511,77.14409666889831,139.185945030468,160.927990732734,19.983569170508378,2507.8299654089997,Golden Plains (S),23.5
22620,1294.993290326815,4132.556973511533,402.2314278237651,737.5473595711961,1325.7847339830623,24.64215848745388,7917.755943703826,Greater Bendigo (C),23.3
22670,1828.909101348117,6199.163000016544,774.2746566609019,1041.0343167829947,1562.879426413342,47.55963120203978,11453.82013242394,Greater Dandenong (C),10.6
22750,1091.3259295948442,5576.58844152046,313.8225828511589,652.3688665632528,752.8054623246541,19.118564174853248,8406.029847029224,Greater Geelong (C),20.0
22830,1831.7369985128832,6005.902198853255,722.6583489611248,1016.1703723302638,1539.7433672862321,23.7321119296489,11139.943397873409,Greater Shepparton (C),21.6
22910,768.2612187084957,3105.942147809331,123.6889369475731,235.82040089022811,356.22292515993627,14.774396090567143,4604.710025606132,Hepburn (S),30.2
22980,1018.7937293020084,2091.1437275515405,379.57426322507865,410.65042174898855,623.4660640367242,14.115857001574039,4537.744062865914,Hindmarsh (S),40.6
23110,996.9859328053853,5104.689098610857,323.3912804863363,487.87426672437704,564.9920331852848,39.05447117172472,7516.987082983966,Hobsons Bay (C),15.6
23190,2476.85239442768,6184.021840837637,749.4952349996635,1188.4107577636782,2165.31591349213,85.21850365406341,12849.31464517485,Horsham (RC),32.6
23270,1489.5502004887749,5874.468044767119,483.6649163049774,547.3415614743915,1146.4423917379108,37.672972634757876,9579.140087407932,Hume (C),11.1
23350,549.0168147103557,1568.3952428571324,164.8509385525074,362.2577401031924,250.23236538535534,28.61215742625189,2923.3652590347947,Indigo (S),33.2
23430,883.8955491520522,4102.793193085296,392.2387542640914,436.09301294020986,676.4944988897478,37.81743521443916,6529.332443545836,Kingston (C),16.4
23670,897.0581570233055,4102.319081489217,397.8955869474573,365.0189133115484,537.8536976264852,23.540040221996442,6323.6854766200095,Knox (C),17.8
23810,3332.773236826512,7435.004867053652,822.999222072086,1336.0054672618285,2863.1816090337984,36.61935248389684,15826.583754731773,Latrobe (C),19.5
23940,1292.5467565701317,2854.4259703451585,333.18945386591844,365.6683173137972,1020.369917638224,61.88213131063619,5928.082547043866,Loddon (S),37.3
24130,788.6242186045567,2459.314975765415,317.11567991664526,335.9804290374595,661.6397418810503,38.46372042055225,4601.138765625679,Macedon Ranges (S),25.8
24210,515.2599253752766,2428.4414809240743,172.99025575529194,138.01136113331754,241.90861209282934,12.212364409245875,3508.823999690035,Manningham (C),18.6
24250,905.013315435499,3432.580914997353,302.4663667819812,781.0497429937303,457.9273580689707,228.33461134641288,6107.372309623946,Mansfield (S),31.8
24330,1163.6785997264913,7283.803713000404,791.2430135163434,774.5303968117831,490.0137338574822,36.92801406925273,10540.197470981757,Maribyrnong (C),15.0
24410,919.6474137070925,3770.890647634473,357.6503589410213,462.56848678619644,1042.6177056721,31.83979103219494,6585.214403773079,Maroondah (C),20.3
