vic_erp, lga_name11, lga_code_2011, c_total, e_total, d_total, b_total, a_total, ref_period, grand_tot, lga_erp, f_total
5733545,"Mornington Peninsula (S)",25340,324,796,813,5730,1444,2013,9160,152106,53
5733545,"Mount Alexander (S)",25430,51,140,88,473,226,2013,987,17964,9
5733545,"Moyne (S)",25490,50,123,133,410,241,2013,959,16295,2
5733545,"Murrindindi (S)",25620,39,19,126,304,136,2013,640,13477,16
5733545,"Nillumbik (S)",25710,61,118,132,1431,332,2013,2089,62660,15
5733545,"Northern Grampians (S)",25810,54,88,119,1429,273,2013,1970,11775,7
5733545,"Port Phillip (C)",25900,535,476,1442,7708,1338,2013,11592,102396,93
5733545,"Pyrenees (S)",25990,14,18,31,186,67,2013,321,6759,5
5733545,"Queenscliffe (B)",26080,2,0,4,71,6,2013,83,3054,0
5733545,"South Gippsland (S)",26170,83,128,124,911,204,2013,1452,27895,2
5733545,"Southern Grampians (S)",26260,76,66,142,587,201,2013,1080,16133,8
5733545,"Stonnington (C)",26350,526,380,848,6574,1001,2013,9359,103085,30
5733545,"Strathbogie (S)",26430,38,19,49,276,73,2013,458,9702,3
5733545,"Surf Coast (S)",26490,46,50,154,758,138,2013,1155,28262,9
5733545,"Swan Hill (RC)",26610,99,242,225,722,415,2013,1708,20849,5
5733545,"Towong (S)",26670,2,25,48,136,58,2013,269,5884,0
5733545,"Wangaratta (RC)",26700,206,249,483,1017,446,2013,2432,27169,31
5733545,"Warrnambool (C)",26730,84,194,179,1080,432,2013,1978,33240,9
5733545,"Wellington (S)",26810,173,423,231,2380,829,2013,4051,42272,15
5733545,"West Wimmera (S)",26890,8,8,9,103,19,2013,149,4084,2
5733545,"Whitehorse (C)",26980,245,264,400,5371,863,2013,7207,161560,64
5733545,"Whittlesea (C)",27070,609,962,547,8336,1785,2013,12258,179080,19
5733545,"Wodonga (RC)",27170,154,211,183,1807,487,2013,2846,37307,4
5733545,"Wyndham (C)",27260,507,784,634,8648,1748,2013,12366,189063,45
5733545,"Yarra (C)",27350,793,367,1184,7214,1216,2013,10845,83508,71
5733545,"Yarra Ranges (S)",27450,358,481,459,3854,1124,2013,6294,149390,18
5733545,"Yarriambiack (S)",27630,21,32,34,165,61,2013,316,7021,3
5838110,"Alpine (S)",20110,39,31,90,317,98,2014,592,12019,17
5838110,"Ararat (RC)",20260,34,161,163,430,316,2014,1112,11139,8
5838110,"Ballarat (C)",20570,494,1149,853,6047,1584,2014,10139,100240,12
5838110,"Banyule (C)",20660,272,1599,339,5136,1168,2014,8552,125451,38
5838110,"Bass Coast (S)",20740,150,314,276,1273,625,2014,2641,31610,3
5838110,"Baw Baw (S)",20830,258,412,337,1958,708,2014,3712,45912,39
5838110,"Bayside (C)",20910,298,309,265,2792,486,2014,4163,99914,13
5838110,"Benalla (RC)",21010,72,195,103,510,333,2014,1220,13603,7
5838110,"Boroondara (C)",21110,384,306,365,5261,681,2014,7013,172551,16
5838110,"Brimbank (C)",21180,1211,2228,1063,10597,2402,2014,17535,197637,34
5838110,"Buloke (S)",21270,10,3,22,117,45,2014,200,6084,3
5838110,"Campaspe (S)",21370,95,310,277,1682,451,2014,2819,36889,4
5838110,"Cardinia (S)",21450,368,634,376,3310,886,2014,5628,87034,54
5838110,"Casey (C)",21610,972,1822,921,10278,3069,2014,17103,283215,41
5838110,"Central Goldfields (S)",21670,32,192,131,493,254,2014,1110,12609,8
5838110,"Colac-Otway (S)",21750,64,155,161,798,354,2014,1546,20504,14
5838110,"Corangamite (S)",21830,37,51,60,336,172,2014,662,15920,6
5838110,"Darebin (C)",21890,515,1264,654,10231,1666,2014,14376,148675,46
5838110,"East Gippsland (S)",22110,199,657,411,1702,883,2014,3877,43678,25
5838110,"Frankston (C)",22170,1058,2272,1671,7549,1975,2014,14572,134899,47
5838110,"Gannawarra (S)",22250,42,64,93,251,120,2014,573,10142,3
5838110,"Golden Plains (S)",22490,14,16,30,319,78,2014,458,20538,1
5838110,"Greater Bendigo (C)",22620,586,1334,858,4343,1373,2014,8517,107051,23
5838110,"Greater Dandenong (C)",22670,1124,2193,1506,8256,2825,2014,15985,149466,81
5838110,"Greater Geelong (C)",22750,691,1516,1491,11722,2339,2014,17783,224906,24
5838110,"Greater Shepparton (C)",22830,403,983,613,3869,1169,2014,7042,63131,5
5838110,"Hepburn (S)",22910,22,63,31,349,120,2014,587,14885,2
5838110,"Hindmarsh (S)",22980,20,35,21,82,53,2014,213,5642,2
5838110,"Hobsons Bay (C)",23110,351,544,474,4705,989,2014,7087,91118,24
5838110,"Horsham (RC)",23190,168,405,238,934,486,2014,2282,19691,51
5838110,"Hume (C)",23270,699,2113,1014,11007,2739,2014,17626,188669,54
5838110,"Indigo (S)",23350,29,32,53,197,109,2014,423,15341,3
5838110,"Kingston (C)",23430,639,952,681,6009,1365,2014,9691,153034,45
5838110,"Knox (C)",23670,698,739,648,6387,1465,2014,9972,155279,35
5838110,"Latrobe (C)",23810,672,2196,1015,4743,2535,2014,11196,73619,35
5838110,"Loddon (S)",23940,18,239,23,166,73,2014,520,7353,1
5838110,"Glen Eira (C)",22310,310,358,333,3790,584,2014,5429,144009,54
5838110,"Glenelg (S)",22410,94,188,197,880,300,2014,1669,19355,10
5838110,"Macedon Ranges (S)",24130,115,268,140,1251,352,2014,2143,44702,17
5838110,"Manningham (C)",24210,264,301,148,2865,582,2014,4162,118485,2
5838110,"Mansfield (S)",24250,29,39,66,334,91,2014,590,8217,31
5838110,"Maribyrnong (C)",24330,496,583,654,5673,985,2014,8404,81831,13
5838110,"Maroondah (C)",24410,323,1252,503,4295,1018,2014,7441,111185,50
5838110,"Melbourne (C)",24600,2105,3434,5046,17405,3630,2014,31779,122167,159
5838110,"Melton (S)",24650,513,920,557,6323,1441,2014,9762,127638,8
5838110,"Mildura (RC)",24780,434,657,743,3067,880,2014,5794,53018,13
5838110,"Mitchell (S)",24850,139,441,290,1559,751,2014,3191,38393,11
5838110,"Moira (S)",24900,151,164,110,727,311,2014,1468,28825,5
5838110,"Monash (C)",24970,507,566,462,6851,1225,2014,9642,184977,31
5838110,"Moonee Valley (C)",25060,453,572,476,5766,1083,2014,8364,117297,14
5838110,"Moorabool (S)",25150,95,142,118,1196,303,2014,1868,30911,14
5838110,"Moreland (C)",25250,482,876,604,9017,1539,2014,12574,163331,56
5838110,"Mornington Peninsula (S)",25340,495,1211,936,6139,1490,2014,10334,153749,63
5838110,"Mount Alexander (S)",25430,74,197,85,567,253,2014,1179,18087,3
