lga_code,lga_name,c_total,e_total,d_total,b_total,a_total,ref_period,offence_total,lga_erp,f_total
20910,Bayside (C),219,275,253,2888,432,2013,4079,98270,12
21010,Benalla (RC),63,102,95,518,287,2013,1076,13697,11
21110,Boroondara (C),293,229,399,5449,710,2013,7103,170382,23
21180,Brimbank (C),1259,1754,1139,12734,2544,2013,19465,195273,35
21270,Buloke (S),8,9,30,145,42,2013,243,6214,9
21370,Campaspe (S),82,202,254,1663,452,2013,2668,36898,15
21450,Cardinia (S),242,690,321,3496,1081,2013,5852,83980,22
21610,Casey (C),876,1166,868,9510,2937,2013,15394,274836,37
21670,Central Goldfields (S),37,115,142,485,274,2013,1060,12620,7
21750,Colac-Otway (S),72,106,152,638,273,2013,1270,20666,29
21830,Corangamite (S),40,62,62,323,135,2013,623,16108,1
21890,Darebin (C),503,493,568,7989,1658,2013,11249,146650,38
22110,East Gippsland (S),125,449,339,2146,797,2013,3875,43376,19
22170,Frankston (C),905,1520,1990,7703,1945,2013,14092,133425,29
22250,Gannawarra (S),24,34,85,273,135,2013,553,10311,2
22490,Golden Plains (S),8,17,40,254,88,2013,412,20131,5
22620,Greater Bendigo (C),333,1352,817,4594,1348,2013,8471,105222,27
22670,Greater Dandenong (C),1053,1834,1636,8972,2509,2013,16066,146578,62
22750,Greater Geelong (C),559,1250,1646,11024,2566,2013,17072,221290,27
22830,Greater Shepparton (C),528,571,688,3435,1047,2013,6289,62707,20
22910,Hepburn (S),13,21,42,443,92,2013,613,14807,2
22980,Hindmarsh (S),16,31,20,148,46,2013,263,5693,2
23110,Hobsons Bay (C),338,305,466,4734,893,2013,6764,89384,28
23190,Horsham (RC),74,179,216,1726,415,2013,2611,19666,1
23270,Hume (C),715,1341,871,9405,2646,2013,15039,183077,61
23350,Indigo (S),32,48,48,290,57,2013,485,15359,10
23430,Kingston (C),520,786,650,6092,1357,2013,9444,151533,39
23670,Knox (C),493,469,459,6075,1247,2013,8803,154760,60
23810,Latrobe (C),492,1472,938,5055,2314,2013,10287,73783,16
23940,Loddon (S),19,19,22,213,83,2013,359,7417,3
24130,Macedon Ranges (S),91,209,132,957,385,2013,1793,44056,19
22310,Glen Eira (C),246,326,292,4046,669,2013,5594,141379,15
22410,Glenelg (S),81,148,164,786,216,2013,1402,19500,7
24210,Manningham (C),196,302,171,2569,614,2013,3876,117409,24
24250,Mansfield (S),12,9,54,240,46,2013,378,8177,17
24330,Maribyrnong (C),576,257,700,5731,994,2013,8293,79222,35
24410,Maroondah (C),363,776,506,3742,919,2013,6355,109466,49
24600,Melbourne (C),1994,2572,5756,20842,3741,2013,35104,116330,199
24650,Melton (S),382,647,432,5729,1679,2013,8885,122786,16
24780,Mildura (RC),332,461,734,3011,969,2013,5516,52633,9
24850,Mitchell (S),138,218,275,1504,655,2013,2803,37325,13
24900,Moira (S),117,90,124,770,222,2013,1335,28645,12
24970,Monash (C),282,277,633,6562,1079,2013,8863,182300,30
25060,Moonee Valley (C),367,315,446,5340,1099,2013,7602,114979,35
25150,Moorabool (S),91,109,120,1173,261,2013,1758,30313,4
25250,Moreland (C),571,679,635,8408,1531,2013,11846,159867,22
25340,Mornington Peninsula (S),324,796,813,5730,1444,2013,9160,152106,53
25430,Mount Alexander (S),51,140,88,473,226,2013,987,17964,9
25490,Moyne (S),50,123,133,410,241,2013,959,16295,2
25620,Murrindindi (S),39,19,126,304,136,2013,640,13477,16
25710,Nillumbik (S),61,118,132,1431,332,2013,2089,62660,15
25810,Northern Grampians (S),54,88,119,1429,273,2013,1970,11775,7
25900,Port Phillip (C),535,476,1442,7708,1338,2013,11592,102396,93
25990,Pyrenees (S),14,18,31,186,67,2013,321,6759,5
26080,Queenscliffe (B),2,0,4,71,6,2013,83,3054,0
26170,South Gippsland (S),83,128,124,911,204,2013,1452,27895,2
26260,Southern Grampians (S),76,66,142,587,201,2013,1080,16133,8
26350,Stonnington (C),526,380,848,6574,1001,2013,9359,103085,30
